ncaa_id,team,player_id,name,jersey,height_ft,height_in,position_clean,year_clean,redshirt,hometown_clean,state_clean,country_clean
649,South Dakota State,11722,Regan Nesheim,42,6,1,GUARD,Junior,1,"JOHNSTON, IOWA",IA,USA
649,South Dakota State,11723,Myah Selland,44,6,1,FORWARD,Senior,1,"LETCHER, SD",SD,USA
649,South Dakota State,11724,Kallie Theisen,12,6,1,FORWARD,Junior,0,"PLYMOUTH, MINN",MN,USA
649,South Dakota State,11725,Haleigh Timmer,13,5,11,GUARD,Sophomore,0,"RAPID CITY, SD",SD,USA
649,South Dakota State,11726,Madysen Vlastuin,22,6,1,FORWARD,Sophomore,0,"LENNOX, SD",SD,USA
649,South Dakota State,11727,Madison Mathiowetz,3,5,10,GUARD,Freshman,0,"SLEEPY EYE, MINN",MN,USA
649,South Dakota State,11728,Ellie Colbeck,5,5,10,GUARD,Freshman,0,"FERGUS FALLS, MINN",MN,USA
649,South Dakota State,11729,Brooklyn Meyer,31,6,2,FORWARD,Freshman,0,"LARCHWOOD, IOWA",IA,USA
649,South Dakota State,11730,Natalie Nielsen,34,6,3,FORWARD,Freshman,0,"AKRON, IOWA",IA,USA
649,South Dakota State,11731,Dru Gylten,10,5,10,GUARD,Graduate Student,0,"RAPID CITY, SD",SD,USA
609,Saint Louis,11737,Kiley Bess,24,6,0,GUARD,Junior,0,"POPLAR BLUFF, MO",MO,USA
609,Saint Louis,11738,Brooke Flowers,42,6,5,FORWARD/CENTER,Senior,0,"ST LOUIS, MO",MO,USA
609,Saint Louis,11739,Sevval Gul,12,6,4,FORWARD,Junior,1,"ISTANBUL, TURKEY",,TURKEY
609,Saint Louis,11740,Peyton Kennedy,32,5,11,FORWARD,Junior,0,"ROCKFORD, ILL",IL,USA
609,Saint Louis,11741,Sarah Lazar,34,6,3,FORWARD,Sophomore,0,"MADISON, WIS",WI,USA
609,Saint Louis,11742,Julia Martinez,11,5,10,GUARD,Senior,0,"CHICAGO, ILL",IL,USA
609,Saint Louis,11743,Marisa Warren,1,5,8,GUARD,Senior,0,"ST LOUIS, MO",MO,USA
609,Saint Louis,11744,Kyla McMakin,0,5,11,GUARD,Senior,0,"VIRGINIA BEACH, VA",VA,USA
609,Saint Louis,11745,Abby Liber,3,6,0,GUARD,Freshman,0,"AVON, OHIO",OH,USA
609,Saint Louis,11746,Kennedy Calhoun,4,5,5,GUARD,Sophomore,0,"HARRISBURG, NC",NC,USA
609,Saint Louis,11747,Isabel Tillett,10,5,9,GUARD,Freshman,1,"MANASSAS, VA",VA,USA
369,Loyola-Maryland,11748,Kelly Ratigan,1,5,8,GUARD,Freshman,0,"SOUTH BEND, IND",IN,USA
609,Saint Louis,11748,Ashleigh Connor,15,5,11,GUARD,Freshman,0,"PITTSBURGH, PA",PA,USA
369,Loyola-Maryland,11749,Meliah Van-Otoo,2,5,4,GUARD,Freshman,0,"DREXEL HILL, PA",PA,USA
609,Saint Louis,11749,Mia Nicastro,22,6,2,GUARD/FORWARD,Freshman,0,"ST CHARLES, MO",MO,USA
369,Loyola-Maryland,11750,Koi Sims,10,6,0,FORWARD,Sophomore,0,"GLEN BURNIE, MD",MD,USA
609,Saint Louis,11750,Briana Johns,35,5,11,GUARD/FORWARD,Junior,0,"ALEXANDRIA, VA",VA,USA
369,Loyola-Maryland,11751,Marta Espinal,23,5,11,FORWARD,Freshman,0,"CASTELLNOU DE BAGES, SPAIN",,SPAIN
369,Loyola-Maryland,11752,Cristina Garcia,12,5,9,GUARD,Freshman,0,"SANT CUGAT DEL VALLÉS, SPAIN",,SPAIN
369,Loyola-Maryland,11753,Ally Lovisolo,24,6,1,FORWARD,Freshman,0,"ALLENDALE, NJ",NJ,USA
703,Texas,11779,Shaylee Gonzales,2,5,10,GUARD,Graduate Student,0,"GILBERT, ARIZ",AZ,USA
703,Texas,11780,Khadija Faye,20,6,4,FORWARD,Junior,0,"DAKAR, SENEGAL",,SENEGAL
721,Air Force,11795,Taylor Britt,5,5,7,GUARD,Junior,0,"COLUMBIA, SC",SC,USA
721,Air Force,11796,Kamri Heath,10,5,7,GUARD,Senior,0,"EDMOND, OK",OK,USA
721,Air Force,11797,Jo Huntimer,40,5,7,GUARD,Sophomore,0,"HONOLULU, HI",HI,USA
721,Air Force,11798,Dasha Macmillan,30,6,0,FORWARD,Junior,0,"COLLEYVILLE, TX",TX,USA
721,Air Force,11799,Nikki McDonald,33,5,11,FORWARD,Senior,0,"CHICAGO, IL",IL,USA
721,Air Force,11800,Kayla Pilson,11,5,10,GUARD/FORWARD,Junior,0,"HOUSTON, TX",TX,USA
590,Sacred Heart,11800,Ny'Ceara Pryor,1,5,3,GUARD,Freshman,0,"BALTIMORE, MD",MD,USA
721,Air Force,11801,Madison Smith,4,5,8,GUARD,Sophomore,0,"CONNELL, WA",WA,USA
590,Sacred Heart,11801,Victoria Morales,2,5,6,GUARD,Freshman,0,"LAWRENCE, MASS",MA,USA
721,Air Force,11802,Emily Adams,31,6,0,FORWARD,Freshman,0,"LEBANON, OH",OH,USA
590,Sacred Heart,11802,Amelia Wood,3,6,0,GUARD,Freshman,0,"WYNANTSKILL, NY",NY,USA
112,UC San Diego,11802,Madison Baxter,12,5,9,GUARD,Graduate Student,0,"PLEASANTON, CALIF",CA,USA
721,Air Force,11803,Parker Brown,23,6,0,FORWARD,Freshman,0,"SPOKANE, WA",WA,USA
590,Sacred Heart,11803,Sierra Johnson,24,5,8,GUARD,Freshman,0,"RICHMOND, VA",VA,USA
112,UC San Diego,11803,Sydney Brown,13,6,0,GUARD/FORWARD,Graduate Student,0,"REXFORD, NY",NY,USA
721,Air Force,11804,Griffin Greenwood,21,5,11,FORWARD,Freshman,0,"MONUMENT, CO",CO,USA
590,Sacred Heart,11804,Sajada Bonner,23,6,0,GUARD,Graduate Student,0,"CLIFFWOOD, NJ",NJ,USA
112,UC San Diego,11804,Emily Cangelosi,4,5,9,GUARD,Senior,1,"AGOURA HILLS, CALIF",CA,USA
721,Air Force,11805,Milahnie Perry,2,5,7,GUARD,Freshman,0,"TAMPA, FL",FL,USA
